txt	polarity
RT USERNAME: #سوريا كلمة في سبيل الله يا سوريا  للشيخ حفيظ الدوسري URL عبر USERNAME 	Positive
RT USERNAME: آلبعض في موته حيآة لغيرة ، كَـ/ هذآ آلكلب❗   #سوريا URL 	Negative
USERNAME مجازر الشيعه ضد المسلمين  في سوريا 	Negative
RT USERNAME: أموي #سوريا •  #الغرفة_المشتركة_لأهل_الشام   #غزوة_الإعتصام   #حلب #جبهة_الشيخ_نجار   دك معاقل ميليشيات الإسد في... URL 	Negative
USERNAME   اربعہ في الطائرة الماليزيہ و واحد يجاهد في سوريا - حظي و أعرفہ ᴗ̈ 	Negative
إزا مو عاجبتك القااعدة تقاتل بسورياا ياليت تتكرم انت وامثالك الهربانيين والمتوالين عن الزحف وتنزلوا ع سوريا وتفرجونا مراجلكن بدل التنظير . 	Negative
USERNAME USERNAME  صدقني يا صديقي المشكله التي تحدث في سوريا ليست مشكله سني وشيعي هيه مشكله سلفي وهابي ارهابي ضد المسلم السني والشيعي 	Negative
#تذكير#  صلاة الوتر بارك الله فيكم..ولاتنسوا أهل السنه في سوريا وفلسطين وبورما وأفريقيا الوسطى من دعواتكم إنهم إخوانكم..وحرماتهم هي حرماتكم. 	Positive
RT USERNAME: موقف #روسيا المدافع عن #إيران ونظام قرداحة #سوريا هو أساس مأساة شعب #أوكرانيا - من يدعم عنصري يتعلم عنصرية - و - ومن يؤيد طا… 	Negative
إستهداف مدينة #القرداحة بصواريخ الغراد 18-4-2014 URL #دمشق #اللاذقية #معركة_الأنفال 	Negative
RT USERNAME: شافي العجمي يتبراء من تنظيم داعش بعد تمويلهم من قبله بجمع التبرعات لقتل أطفال سوريا وشيوخها حسبي الله عليك يا شافي 	Negative
RT USERNAME: URL #حلب | #الفردوس • جمعة أنقذوا حمص قبل أن تستباح 18-4-2014 #سوريا 	Negative
10.50 P.M  #سورية #سوريا #اللاذقية #Syria #lattakia #latakia  نشاط فريق \" #قطرات_ملونة \" اليوم: تلوين درج حي... URL 	Neutral
Last: #syria# Hama | #حماة #الريف_الجنوبي |  :... - المكتب الإعلامي - مجلس قيادة الثورة في حماة Hama RCC URL #news #syria 	Neutral
الان #أفريقيا_الوسطى ك بورما سوريا مصرليبيا العراق لبنان تونس اليمن وقبلها فلسطين بلادالمسلمين تئن وتشكو لكم الله يامسلمين #العراق 	Negative
RT USERNAME: لم تتعرض بلد في العالم على مر التاريخ لخيانة من جيرانها كما حدث لسوريا  لكن الامل في الشعوب وليس بالحكومات  هذه سوريا يا ....… 	Negative
RT USERNAME: #كاثرين_آشتون:سقوط حكم العسكر في  #مصر سينهي الازمة السورية لصالح الاسلامين!! #سوريا #تونس #تركيا #ليبيا USERNAME http:… 	Neutral
RT USERNAME: لمن يستغرب تمسك #بوتفليقة بالحكم ..  مازال حافر #الأسد يحكم من قبره ..   #سوريا 	Negative
RT USERNAME: أموي #سوريا •  أهل الشام - بعض الغنائم التي اغتنمها المجاهدون من مليشيات الاحتلال النصيرية وحزب اللات #حالش... URL 	Negative
USERNAME USERNAME  على كل حال):هذا ثائر ينبح ضد كافة المجاهدين اللذين يجاهدون في سبيل الله والمشكله انه من اهل سوريا وجالس بالسعوديه 	Negative
#Syria إستهداف مدينة القرداحة بصواريخ غراد سدد الله رميكم يا أحرار . تجمع نصرة المظلوم . إستهداف... URL via FaceBook 	Negative
RT USERNAME: أموي #سوريا •  فرقة تحرير الشام # اللواء الثاني     للشام نفوس تتهاوى   في عين الغادر مسمار   سنعيد المجد... URL 	Negative
RT USERNAME: الحمدلله على قضاء الله وقدره، استشهد في سوريا زوجي #وليد_السنيدي اللهم تقبله قبولا حسناً ، واربط على قلبي وعلى قلب والدته ياكريم. 	Negative
RT USERNAME: إن ماحصل لاخواننا في #سوريا ليعطي اليقين لكل مسلم أن الشعارات البراقة التي ينخدع بها البعض ماهي إلا مطايا للمصالح وتحقيق ال… 	Negative
RT USERNAME: كلمة الشيح أيمن الظواهري #كلمة_الظواهري_الواقع_بين_الألم_والأمل  URL #داعش #سوريا #أفغانستان… 	Negative
RT USERNAME: #كان_رجل_حتى_قال الله سوريا بشار و بس 	Negative
#اخرساعه من يوم الجمعهربي ان اخواننا في سوريا ينتظرون فرجك انصرهم ياناصر المستضعفين ان صبرهم قد طال فعجل بفرحة لنا ولهم تدمع لها الأعين 	Positive
RT USERNAME: #شام #سوريا | ريف #القنيطرة : قصف بالمدفعية الثقيلة يستهدف تل أحمر الغربي ، مصدر القصف قوات النظام المتمركزة في تل الجابية و تل الحارة. 	Negative
RT USERNAME: استودعكم الله الذي لا تضيعه ودائعه  استغفر الله العظيم  نراكم لاحقا ..   #سوريا 	Positive
RT USERNAME: \"USERNAME: حماية الله لطفلٍ برئ أقوى من طغيان بشر  اللهم انصر المجاهدين في #سوريا واحفظ عبادك الموحدين URL" 	Negative
USERNAME حسبناالله ونعم الوكيل على كل من ساهم في مأساة أطفال سورية ولم يكن هناك من يريدان يناصرهم اللهم اغثهم فلاناصر لهم سواك يالله ياالله 	Negative
RT USERNAME: اللهم انصر اخواننا المسلمين في سوريا وفي كل مكان ، اللهم انصر عبادك المستضعفين .  #سوريا 	Positive
#أوغاريت || #سوريا #حمص :: ملخص أهم أحداث حمص المحتلة ليوم 18 / 4 / 2014 حتى الس... ... URL 	Neutral
RT USERNAME: كلّ ما مات واحد .. تخافين ، لكن قسم  ضحكة اطفالك تخوف الموت يا سورية   #معرض_وتعليق URL 	Negative
RT USERNAME: ( والعزه لله )  لا تسقني ماء الحياة بذلة = بل فاسقني بالعز كأس الحنظل  ماء الحياة بذلة كجهنم = وجهنم بالعز أطيب منزل .. !   #سوريا #القصير 	Negative
#شهداء_الوطن #سوريا  الشهيد البطل محمد سعد الحجل من طرطوس قرية البلاطة الغربية استشهد في درعا الناصرية بتاريخ 13... URL 	Negative
\" المراقب الدولي انور مالك.. : تعهدت ألا اطعم نفسي وأولادي من استغلال دماء سوريا ..!  ^و دعاة اخونجية يجمعون تبرعات باسم سوريا ويسرقونها\" 	Negative
RT USERNAME: فيديو : إستشهاد وجدي العنزي \" ابو عزام الكويتي \" في #سوريا   URL 	Negative
RT USERNAME: #سوريا  اللهم في هاذااليوم في صباح يوم الجمعه ان تنصر اخونناءفي بلادالشام اللهم انهم ضماءفاروهم وانهم جاعون فاطعمهم ولعن الله بشا… 	Positive
RT USERNAME: #حمص/#سورية #حمص لن تسقط..وستبقى صامدة بابطالها وبشموخ جبينهم العالي #حمص....ستظل العدية♥ URL 	Positive
RT USERNAME: أورينت نيوز| مؤتمر يفضح جرائم براميل النظام المتفجرة URL #syria #سوريا 	Negative
RT USERNAME: سوريا - حمص القديمة : الجيش يسيطر على عدة كتل ومبان في باب هود ووادي السايح  قناة الدنيا 	Negative
RT USERNAME: اللهم إني أستودعك أطفال ونساء سوريا فأحفظهم بحفظك ياأرحم الراحمين URL 	Positive
#حلب لواء التوحيد دك معاقل الشبيحة بالرشاشات الثقيلة URL #دمشق 	Negative
RT USERNAME: USERNAME USERNAME اقسم بالله نحن في سوريا لما فاز البطل مرسي في الانتخابات الثوار والمجاهدين فرحوا كانما قتل بشار  #ا… 	Positive
#سوريا  المعادل الراهن للملهاة الحزينة بكامل فصولها. 	Negative
RT USERNAME: USERNAME USERNAME USERNAME قصي واهل سوريا كلهم راجعين انشاءالله ♡♡ 	Positive
\"USERNAME: يقولون تمثيل هذا الصليب ماذا يمثل؟ #جيش_تويتر #السعودية #الرافضة #سوريا #الشيعة #العراق URL" 	Neutral
#سوريا #اللاذقية   #معركة_الأنفال :  الأخوة المجاهدون يحاصرون العديد من مرتزقة الأسد في محور تشالما ويقتلون عدد كبير منهم 	Negative
USERNAME لعنت الله عليك ،، النصر قريب للمجاهدين في سوريا !! والله يعجل في قبض روحك انشاءالله 	Negative
ابو عمر استشهد مبارح  ب #ريف_اللاذقية ب #كسب #سوريا 	Negative
\"@: #معلومة_عن_قناة_المجد   الثورة السورية ولازالت تقف  وعلم #سوريا يرفرف على جميع قنواتها  بالإختصار :  قناة تحمل هم الأمة الإسلامية..♡\" 	Positive
RT USERNAME: اللهم انصر بشار الاسد على رعاع جبهة النصرة و خونة الجيش الصهيونى الحر #سوريا 	Positive
\" اللهم إنك أعلم بحال إخوتنا المستضعفين في #سوريا فعجل بنصرهم.. على من: سفك دمائهم، ومسّ عوراتهم، وقتل أطفالهم، وشيوخهم، وشبابهم\" 	Negative
\"USERNAME: لا يقتل الاطفال إلا من تجرد من أبجديات الإنسانية وأتصف بصفات الطغاة !! #سوريا #حلب URL" 	Negative
استشهاد ثلاث فلسطينيين في سوريا: الحياة برس – مصادر طبية ومحلية في مخيم حمص ‘ مخيم العائدين ‘ في سوريا الجمعة،... URL 	Negative
#syria #Aljazeera #حمص : 14 شهيداً ونحو 75 جريحاً هي حصيلة انفجار سيارة مفخخة قرب جامع بلال ... URL #mar15 #alarabiya 	Negative
RT USERNAME: !̴​​.. ♡`̨      #لم اعد اسمع اخبار عن #سوريا كالسابق      هل ضُمت سوريا إلى #فلسطين ؟ لتصبح #قضايا منسيہ </3 !  #مسآحه_دعويه 	Negative
RT USERNAME: “USERNAME: منسقه الاتحاد الاوروبي كاثرين اشتون تبين سبب دعم الغرب للانقلاب في مصر !  #مصر #سوريا #تونس #ليبيا . URL 	Neutral
RT USERNAME: بالفديو صاروخ ميتس يدمر دبابة تابعة للنصيري الاسد و فرحة المجاهدين المسلمين السوريين  بذلك ،، #سوريا   URL 	Positive
RT USERNAME: ما حدي رح بيحس فيكي يا سورية  الله خير ناصر ومعين URL 	Negative
RT USERNAME: الجيش الحر يدمر 3 آليات عسكرية في بلدة بصرى الشام بدرعا ويقتل 7 عناصر من قوات الأسد #Syria 	Negative
#اخبار سوريا: مقتل 14 بانفجار استهدف مسجدا في حمص: اقرأ هنا خبر عاجل بعنوان اخبار سوريا: مقتل… URL 	Negative
RT USERNAME: أموي #سوريا •  مخطط لإحراق حمص ودرعا   تحت عيون العالم العربي والعالمي المتخاذلين   جبهة الساحل ليش بردت   أحرق... URL 	Negative
RT USERNAME: مقتل متزعم لواء رجال الشام التابع لـ\"جبهة ثوار سوريا\" اثر انفجار عبوة لاصقة بسيارته بريف سراقب  في ادلب . 	Negative
RT USERNAME: يارب المستضعفينْ فيْ سورياَ إِجعْل لهمْ دْفئَاً فيَ ((هذَا اَلبرْد اَلموٌجع ))    #سوريا 	Negative
RT USERNAME: أموي #سوريا •  ديرالزور تجمع شباب الحقيقة #حي الصناعة لقاء مـْـْع المجاهدين المربطين داخل الحي   الرابط :: URL 	Negative
RT USERNAME: أموي #سوريا •   #ريف_حلب_الجنوبي - عزيزة - 18.04.2014     الثوار يسـْـْيطرون على حاجزي بيت الحمام والدشم في قرية عزيزة بريف حلب . 	Negative
RT USERNAME: والله ان مطير تنومس ومالها حـل   مجاهد مطيري في سوريا يراقب الوضع من فوق عماره ومشغل شيلة ( ماجد الحابوط )   URL 	Negative
(لهم من جهنم مهاد ومن فوقهم غواش وكذلك نجزي الظالمين) [الأعراف:41]  URL #ربي انصر سوريا  #غرد_بالخير 	Positive
USERNAME  كنا نتابع احداث سوريا واخبار المجاهدين منذ بداية الثورة اما الآن بعد اقتتال الفصائل الجهاديه فيما بينها كرهنا متابعة الاحداث! 	Negative
اخواني عنصريين كل ماعصبوا مني قالوا لي يا العبدة، مره اللي يشوفهم يقل من سوريا ذابحهم البياض؟ والله انا ابيض من ياسر بس مين يفهم؟ 	Negative
RT USERNAME: اللهم اشفي مرضانا و مرضى المسلمين و عافي عنهم و انصر اخواننا المجاهدين و اعتق سوريا من ايادي الطاغيه بشار و اشفع لك من احتاج ش… 	Positive
RT USERNAME: أطفالٌ عرفوا الموت قبل أن يعرفوا الحياة ! #لن_ننسكم #سوريا URL 	Negative
RT USERNAME: قطع اذرعة النظام الإيراني هو الحل الوحيد لإنهاء الدكتاتورية والبربرية في سوريا  #Iran #Iraq #Geneva2 	Negative
RT USERNAME: أموي #سوريا •  درعا #الشيخ_مسكين   عصابات الغدر والاجرام تسـْـْتهدف المدينة المحاصرة بالمضادات من حاجز الناحية ومن الواء 82   اللهم ربي سلم 	Negative
USERNAME أنت ولعها وبعدين ماتعرف تخمدها.خلينا بثورة سوريا و مصر.أسرع الناس إلى ثورة وأعجزهم عنها. 	Negative
USERNAME USERNAME USERNAME USERNAME لافرق سيسي وبشار لكن شعب سوريا قاتل لم يقف علوش وبعض من قادتهم مع قادة السيسي!؟ 	Negative
RT USERNAME: سـوف نحـيا هـنـاااا  سـوف يحـلوو الـنغــم # أطفال سوريا URL” 	Positive
RT USERNAME: \"USERNAME: :فقط في سوريا ، طفل شهيد في الشارع معلق ، لن أُعلق على الصورة ، فالدمع قد سبق كلماتي ،URL" 	Negative
URL أهل الشام|| شيخ في جبهة جمعية الزهراء همة قوية وعزيمة لاتنثني بالرغم من كبر سنه في ساحات الجهاد #حلب  #سوريا 	Positive
RT USERNAME: أموي #سوريا •    #تجمع_صقور_الفتح_الإسلامي     كتب الشيخ أبو عمارة المسؤول العام عن تجمع صـْـْقور الفتح الإسلامي 	Neutral
CH8: سوريا مباشر || الجزيرة || نشرة أخبار السادس�... URL 	Neutral
#صورة_سورية .. في #سوريا .. عندما يبكي الرجال فاعلمْ أنَّ الهمومَ أثقلُ من الجبال!ربي كن لهم معينا ونصيرا  - URL" 	Negative
USERNAME USERNAME اللهم انصر إخواننا في سوريا 	Positive
RT USERNAME: #شام #سوريا | سقوط عدد من الجرحي جراء غارة من الطيران الحربي على مدينة تلبيسة بريف حمص 	Negative
RT USERNAME: #قصة قصيرة ، كيف أصبح الجرو الصغير كلبا قاتلا. #صورة #سوريا URL 	Negative
RT USERNAME: 19- #اقتباس من كلمة (ما كان هذا منهجنا ولن يكون ) #الدولة_الإسلامية_في_العراق_والشام #النصرة_المقدسية #القاعدة #سوريا http:/… 	Negative
USERNAME  اااااااه ذكرتيني رجعتيني احدعش سنه ورا يوم اول مرة نروح سوريا كانو يشغلونها باللعاب 	Negative
RT USERNAME: #شام #سوريا |ريف #حلب : قصف من الطيران الحربي بالرشاشات الثقيلة يستهدف منطقة الليرمون وبلدة كفر حمرة 	Negative
RT USERNAME: عاجل  الجيش الحر يستهدف حاجز السلام في خان شيخون بإدلب #Syria #سورية #kuw #حمص #ksa #حلب #uae #شام #oman #درعا #qatar #دمشق  . 	Negative
RT USERNAME: USERNAME USERNAME USERNAME آمين ،آن شاء الله ستشرق شمس سوريا من جديد بصبركن،والشدائد رح تزول بإذن الله،بندعيلكن… 	Positive
RT USERNAME: \"وأخرى تحبونها، نصر من الله وفتح قريب، وبشر المؤمنين\". #طرائف_الطريفي #سوريا #سوريا_اقترب_النصر URL 	Positive
USERNAME USERNAME  يعني اي واحد يروح سوريا يكبر خشمه ولا وش السالفه ؟؟ 	Negative
RT USERNAME: مآذن الشام تبكــي ,,   #سوريا #Syria  . URL 	Negative
#سوريا #حمص : أكثر من 15 شهيد و عشرات الجرحى في حصيلة أولية لضحايا انفجار السيارة المفخخة عند مسجد بلال الحبشي عقب صلاة الجمعة 	Negative
RT USERNAME: عبد الله المعتوق: إذا لم تحل الأزمة الـ #سورية فإن الدول المانحة ستشعر بمزيد من الإجهاد بسبب مواصلة العطاء لنف... URL 	Negative
اطفال حلب سوريا يارب الطف بحالهم اللهم انصر الثورة السوريه وحفظ الشعب السوري من المجرم بشار.اللهم احفظ اهل سوريا URL 	Negative
RT USERNAME: أموي #سوريا •  درعا_ مدينه الحارة   مـْـْدينة الحاره تزف لكم أحد أبنائها الشهيد أيمن حسين الوادي في سجون الاحتﻻل اﻵسدي - سجن صيدنايا 	Negative
الجربا بين انصاره  هل هذا من يريد ان يحكم في سورية المستقبل URL 	Negative
RT USERNAME: USERNAME والله يا أخي شو ماقدمنا وعملنا لحمص غير حمص مقصرين و أقل شيئ إنو نصدق معها وأقله بالتغريد ؟ والله قلبنا انفطر وكل سوريا اليوم حمص 	Negative
\"USERNAME: اللهم ياودود يامغيث يافعال لماتريد اللهم فرج هم أطفال سوريا  قتلوا برائة الطفولة فيهن ' URL" 	Positive
RT USERNAME: USERNAME سوريا غاليه على قلوبنا 	Positive
RT USERNAME: SYRIA #SRGC #الهيئة_العامة #سوريا #درعا : #اليادودة : قوات النظام تقصف بالمدفعية الثقيلة بلدة اليادودة بريف درعا URL 	Negative
RT USERNAME: أموي #سوريا •  عن #البدعة   قال بن مسعود: اتبعوا و لا تبتدعوا فـْـْقد كفيتم، وعليكم بالأمر العتيق 	Neutral
RT USERNAME: عاجل 🔴  بعد قليل .. #السمبتيك يروي تجربته مع الجهاد في سوريا على القناة السعودية 1   URL 	Neutral
#ساعة_استجابة  اللهم ثبت أقدام المجاهدين و أشدد أزرهم و ثبت أقدام و أعلي رايتهم و وحد صفوفهم و اجمعهم على قلب رجل واحد #سوريا #بغداد #اليمن 	Positive
#شام #سوريا | ريف #حمص : قصف بالمدفعية الثقيلة من قبل قوات النظام يستهدف أطراف مدينة تدمر. 	Negative
RT USERNAME: URL  اذا كان يهمك مايجري في سوريا والعراق وماجرى في ليبيا،إقرأ هذا المقال بعيدآ عن العربية والجزيرة والإعلام … 	Neutral
RT USERNAME: أموي #سوريا •  النـْـْشرة الإخبارية لأهم العمليات والاشتباكات التى دارت في 18 4 2014 الرابط :: URL 	Neutral
RT USERNAME: من فعل هذا بجدتي ...   من .؟   #حلب اليوم و #جرائم كل يوم   هنا #سوريا URL 	Negative
RT USERNAME: URL شام ريف حلب حريتان تصاعد الدخان جراء القصف العنيف على البلدة 18 4 2014 #سوريا  #حلب  #حريتان 	Negative
USERNAME جماعة لصوص ، نحن في سوريا من أين لنا بهذا المبلغ الضخم ، ما إلنا غير القمر التركي أو #zdf 	Negative
RT USERNAME: ولا تحسبن الذين قتلوا في سبيل الله أمواتا بل أحياء عند ربهم يرزقون) رحم الله الشهيد عبدالرحمن محسن التوم  #سوريا URL 	Negative
RT USERNAME: 2 ايران تنتقل خطوة فى سوريا .خطوتها الجديدة حكم ميلشياوى شيعى رسمى ﻻ حكم حزب بشار الذى يدعى العلمانية والبعثية.يبقى بشار … 	Negative
RT USERNAME: ✨صبراً يا سوريا ؛ فالنصر قريب بإذن الله. ✨ URL 	Positive
#سوريا #syria قوات النظام تقصف بالمدفعية الثقيلة على بلدة #البوعمر #ريف_ديرالزور 	Negative
RT USERNAME: #شام #سوريا | #ديرالزور : الجيش الحر يقتل عدد من قوات النظام إثر نسفه لأحد معاقلهم بحي الصناعة 	Negative
RT USERNAME: حينَ يخذلكَ بترولُ العرب ، وحطبُ بلادك ، وخيمتكَ المهترئة ، ورصيفُ غربةٍ بارد.. لن يخذلكَ حضن أخاك !🍂 #سوريا URL 	Negative
#Syria حمص: سقوط شهداء والعشرات من الجرحى جراء انفجار سيارة مفخخة امام مسجد بلال الحبشي بالقريب من... URL via FaceBook 	Negative
RT USERNAME: وفي آخر ساعه من يوم الجمعه لاتنسون أخوانا في سوريا من دعواتكم .. ولا تنسون المرضى والاموات من دعواتكم..  ولاتنسوني من دعواتكم ♥ 	Positive
#سوريا  حدث في مثل هذا اليوم #مجزرة_الساعة #حمص 18-4 URL 	Negative
RT USERNAME: هـنـا #سوريا   حـيـث مـاتـت إنـسـانـيـة العالـم URL 	Negative
أموي #سوريا •     - #ريف_دمشق - #القلمـْـْون - #وادي_بردى - #عاجل -   إستهداف قرية #اشرافية_الوادي بالرشاشات... URL 	Negative
USERNAME بعد سقوط بشار اجزم لك سوف يسقط بعده مباشره حزب الشيطان ويليه دولة المجوس.وقسم بالله ان النصر لاهل سوريا وسوف يقتل بشار 	Negative
RT USERNAME: مؤلم جداً بكاء الكبار اكثر من بكاء الأطفال  لأنهم لا يبكون إلا من شئ قد غلب صبرهم !!   #سوريا URL 	Negative
USERNAME أسود حتى النخاع وﻻ بنرضى غير باﻷسد يكون رمز سوريا 	Positive
\": لا تحزني يا صغيرتي ستجتمعين أنتِ ومن خذلك أمام الله ولن يضيع حقك ،،، #سوريا . URL" 	Negative
RT USERNAME: مع المكر الكبار في #سوريا   لا يغب عن بالك قوله تعالى : \"أم أبرموا أمرا فإنا مبرمون\" \" ومكروا مكرا ومكرنا مكرا وهم لا ي… 	Positive
RT USERNAME: اللهم أنصر #المجاهدين في #سوريا وأحفظ أطفال ونساء ورجال #الشام #syria  USERNAME USERNAME USERNAME USERNAME h… 	Positive
USERNAME والله ما يحصل في اليمن يحزن القلب و سوريا أيضاً تستصرخ الضمير الحي النشطاء السوريين يعبرون عن قلقهم من مجزرة جديدة في حمص 	Negative
RT USERNAME: أموي #سوريا •  ريف #حماة: دارت اشتباكات عنيفة على أطراف مدينة مورك تمكن خلالها الثوار من تدمير دبابة وقـْـْتل... URL 	Negative
اذكروا #سوريا بدعوة #ساعة_استجابة 	Positive
RT USERNAME: زعلانه لان أطفال سوريا ماعندهم شي ياكلونه   URL 	Negative
الاقتصاد السوري ليرة منهارة وديون متعثرة: في عامي 2011 و2012، ومع دخول \"الثورة السورية\" عامها... URL  #سوريا 	Negative
RT USERNAME: USERNAME وحدمر سوريا اكثر  نظرياً اختي امريكا ماضربت بشار  وماعم بتشوف شو عم بيصير امريكا  مابدها اسلاميين يحكمو سوريا… 	Negative
RT USERNAME: : هكذا ينحرون أطفال سوريا  ثم يقولون نحن أتباع أهل البيت❗❗   URL أهلكـهم.\" 	Negative
RT USERNAME: #شام #سوريا | ريف #درعا : تجدد القصف بالدبابات على بلدة اليادودة ،  مصدر القصف قوات النظام المتمركة على حاجز فطرة. 	Negative
RT USERNAME: مافيا سورية تفشل بتهريب 22 مليون حبة مخدرة للسعودية  USERNAME URL URL 	Negative
RT USERNAME: #شام #سوريا | ريف #درعا : قصف للطيران المروحي بالبراميل المتفجرة على مدينة إنخل. 	Negative
RT USERNAME: #شام #سوريا | ريف #درعا : قصف بالمدفعية الثقيلة يستهدف أطراف بلدة الغرايا ،  مصدر القصف قوات النظام المتمركزة في خربة غزالة. 	Negative
أموي #سوريا •  #حماة #الريف_الشمالي #عاجل   إشتباكات عنيفة على مشارف الحي الجنوبي لمدينة مورك بين الجيش الإسلامي... URL 	Negative
RT USERNAME: يـــا بآسط الأرض ورافــع السمـاءابسط رحمتك لأهل سوريــآ وارفــع عــنهم البـــلاء  #دعواتكم  لــ  #سوريا URL 	Positive
RT USERNAME: اللهم أمين #مصر #لبنان #السعودية #المغرب #الإمارات #سوريا #فلسطين #الكويت #الأردن #البحرين #تونس #دبي #جدة #القاهرة http://… 	Neutral
RT USERNAME: \"USERNAME: عثروا عليه في الصحراء من سورية إلى الأردن حاملا كيس أغراضه وأحلامه ، لكم الله يا #أطفال_سورية URL 	Negative
أموي #سوريا •  SYRIA     15 شهيداً في انفجار سيارة مفخخة قرب جامع( بلال ) بحمص   استشهد اليوم (الجمعة)15شهيدا... URL 	Negative
RT USERNAME: من يطلب الثورة والاحتجاجات والمظاهرات بالكويت ممكن سؤال واحد فقط.  ماذا أستفاد سوريا ومصر وليبيا والعراق والجزائر من ثوراتهم؟  غير الدماء ؟ 	Negative
#حمص_المحاصرة #سوريا #Syria #Homs #حصار  باب الدريب_ الصليبة العصياتي URL 	Negative
RT USERNAME: استشهاد 3 من اللاجئين #الفلسطينيين و إصابة 7 في #مخيم_العايدين في حمص في سوريا نتيجة انفجار سيارة مفخخة. 	Negative
RT USERNAME: مقطع يظهر وحشية النظام الإيراني في تعذيب  الأطفال العرب الأحوازيين  #Bahrain #Egypt #Syria #UN  #البحرين #مصر #سوريا htt… 	Negative
RT USERNAME: #الشعب_يتحرك_19_ابريل #الشعب_يقول_كلمته t سنبقى عبيد بلاكرامة ولا دين ولاخلق !؟ حتى لا يحدث لنا كما في سوريا ومصر ووو !!؟ … 	Negative
#سورية  بالجزائر رئيس بيفوز عالكرسي وبيخاطب شعبه عالسكايب وبسورية رئيس بيترشح معاق عقليا..! حسبنا الله ونعم الوكيل لك الله يا أمة الاسلام 	Negative
RT USERNAME: الروافض قد كشروا أنيابهم وذبحوا الرضيع قبل الرجل الروافض أشد على الإسلام من اليهود والنصارى! #سوريا #مصر #السعودية URL 	Negative
RT USERNAME: أموي #سوريا •  فيلق الشام ll الساحل ll صواريخ غراد المرعبة تستهدف معاقل اوكار إرهابـْـْيي الأسد في البهلولية   URL 	Negative
اخبار قناة الآن/ إصابة 100 جراء استخدام غاز الكلور بكفرزيتا بريف حماة #سوريا - عبر تطبيق نبض USERNAME URL 	Negative
RT USERNAME: #شام #سوريا | ريف #حمص : قصف مدفعي لقوات النظام يتجدد على مدينة تلبيسة. 	Negative
